season,id,name,short_name,description,home_team,away_team,toss_won,decision,1st_inning_score,2nd_inning_score,home_score,away_score,winner,result,start_date,end_date,venue_id,venue_name,home_captain,away_captain,pom,points,super_over,home_overs,home_runs,home_wickets,home_boundaries,away_overs,away_runs,away_wickets,away_boundaries
2019,1178421,Delhi Capitals v Royal Challengers Bangalore,DC v RCB,"46th Match (D/N), Indian Premier League at Delhi, Apr 28 2019",DC,RCB,DC,BAT FIRST,187/5,171/7,187/5,171/7,DC,Capitals won by 16 runs,2019-04-28T10:30Z,2019-04-30T23:59Z,58040,"Arun Jaitley Stadium, Delhi",Shreyas Iyer,Virat Kohli,Shikhar Dhawan,"Delhi Capitals 2, Royal Challengers Bangalore 0",FALSE,20,187,5,26,20,171,7,20
2019,1178422,Kolkata Knight Riders v Mumbai Indians,KKR v MI,"47th Match (N), Indian Premier League at Kolkata, Apr 28 2019",KKR,MI,MI,BOWL FIRST,232/2,198/7,232/2,198/7,KKR,KKR won by 34 runs,2019-04-28T14:30Z,2019-04-30T23:59Z,57980,"Eden Gardens, Kolkata",Dinesh Karthik,Rohit Sharma,Andre Russell,"Kolkata Knight Riders 2, Mumbai Indians 0",FALSE,20,232,2,36,20,198,7,28
2019,1178423,Sunrisers Hyderabad v Kings XI Punjab,SRH v PBKS,"48th Match (N), Indian Premier League at Hyderabad (Deccan), Apr 29 2019",SRH,PBKS,PBKS,BOWL FIRST,212/6,167/8,212/6,167/8,SRH,Sunrisers won by 45 runs,2019-04-29T14:30Z,2019-05-01T23:59Z,58142,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Kane Williamson,Ravichandran Ashwin,David Warner,"Sunrisers Hyderabad 2, Kings XI Punjab 0",FALSE,20,212,6,22,20,167,8,20
2019,1178424,Royal Challengers Bangalore v Rajasthan Royals,RCB v RR,"49th Match (N), Indian Premier League at Bengaluru, Apr 30 2019",RCB,RR,RR,BOWL FIRST,62/7,41/1,62/7,41/1,No Result,No result,2019-04-30T14:30Z,2019-05-02T23:59Z,57897,"M.Chinnaswamy Stadium, Bengaluru",Virat Kohli,Steven Smith,None,"Royal Challengers Bangalore 1, Rajasthan Royals 1",FALSE,5,62,7,9,3.2,41,1,7
2019,1178425,Chennai Super Kings v Delhi Capitals,CSK v DC,"50th Match (N), Indian Premier League at Chennai, May 1 2019",CSK,DC,DC,BOWL FIRST,179/4,99,179/4,99,CSK,Super Kings won by 80 runs,2019-05-01T14:30Z,2019-05-03T23:59Z,58008,"MA Chidambaram Stadium, Chepauk, Chennai",MS Dhoni,Shreyas Iyer,MS Dhoni,"Chennai Super Kings 2, Delhi Capitals 0",FALSE,20,179,4,25,16.2,99,10,11
2019,1178426,Mumbai Indians v Sunrisers Hyderabad,MI v SRH,"51st Match (N), Indian Premier League at Mumbai, May 2 2019",MI,SRH,MI,BAT FIRST,162/5,162/6,162/5,162/6,MI,Match tied (Mumbai Indians won the one-over eliminator),2019-05-02T14:30Z,2019-05-04T23:59Z,58324,"Wankhede Stadium, Mumbai",Rohit Sharma,Kane Williamson,Jasprit Bumrah,"Mumbai Indians 2, Sunrisers Hyderabad 0",TRUE,20,162,5,21,20,162,6,21
2019,1178427,Kings XI Punjab v Kolkata Knight Riders,PBKS v KKR,"52nd Match (N), Indian Premier League at Mohali, May 3 2019",PBKS,KKR,KKR,BOWL FIRST,183/6,185/3,183/6,185/3,KKR,KKR won by 7 wickets,2019-05-03T14:30Z,2019-05-05T23:59Z,57991,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Ravichandran Ashwin,Dinesh Karthik,Shubman Gill,"Kolkata Knight Riders 2, Kings XI Punjab 0",FALSE,20,183,6,23,18,185,3,25
2019,1178428,Delhi Capitals v Rajasthan Royals,DC v RR,"53rd Match (D/N), Indian Premier League at Delhi, May 4 2019",DC,RR,RR,BAT FIRST,115/9,121/5,121/5,115/9,DC,Capitals won by 5 wickets,2019-05-04T10:30Z,2019-05-06T23:59Z,58040,"Arun Jaitley Stadium, Delhi",Shreyas Iyer,Ajinkya Rahane,Amit Mishra,"Delhi Capitals 2, Rajasthan Royals 0",FALSE,16.1,121,5,13,20,115,9,11
2019,1178429,Royal Challengers Bangalore v Sunrisers Hyderabad,RCB v SRH,"54th Match (N), Indian Premier League at Bengaluru, May 4 2019",RCB,SRH,RCB,BOWL FIRST,175/7,178/6,178/6,175/7,RCB,RCB won by 4 wickets,2019-05-04T14:30Z,2019-05-06T23:59Z,57897,"M.Chinnaswamy Stadium, Bengaluru",Virat Kohli,Kane Williamson,Shimron Hetmyer,"Royal Challengers Bangalore 2, Sunrisers Hyderabad 0",FALSE,19.2,178,6,24,20,175,7,23
2019,1178430,Kings XI Punjab v Chennai Super Kings,PBKS v CSK,"55th Match (D/N), Indian Premier League at Mohali, May 5 2019",PBKS,CSK,PBKS,BOWL FIRST,170/5,173/4,173/4,170/5,PBKS,Kings XI won by 6 wickets,2019-05-05T10:30Z,2019-05-07T23:59Z,57991,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Ravichandran Ashwin,MS Dhoni,KL Rahul,"Kings XI Punjab 2, Chennai Super Kings 0",FALSE,18,173,4,23,20,170,5,22
2019,1178431,Mumbai Indians v Kolkata Knight Riders,MI v KKR,"56th Match (N), Indian Premier League at Mumbai, May 5 2019",MI,KKR,MI,BOWL FIRST,133/7,134/1,134/1,133/7,MI,Mum Indians won by 9 wickets,2019-05-05T14:30Z,2019-05-07T23:59Z,58324,"Wankhede Stadium, Mumbai",Rohit Sharma,Dinesh Karthik,Hardik Pandya,"Mumbai Indians 2, Kolkata Knight Riders 0",FALSE,16.1,134,1,19,20,133,7,13
2019,1181764,Mumbai Indians v Chennai Super Kings,MI v CSK,"Qualifier 1 (N), Indian Premier League at Chennai, May 7 2019",MI,CSK,CSK,BAT FIRST,131/4,132/4,132/4,131/4,MI,Mum Indians won by 6 wickets,2019-05-07T14:00Z,2019-05-09T23:59Z,58008,"MA Chidambaram Stadium, Chepauk, Chennai",Rohit Sharma,MS Dhoni,Suryakumar Yadav,None,FALSE,18.3,132,4,16,20,131,4,14
2019,1181766,Delhi Capitals v Sunrisers Hyderabad,DC v SRH,"Eliminator (N), Indian Premier League at Visakhapatnam, May 8 2019",DC,SRH,DC,BOWL FIRST,162/8,165/8,165/8,162/8,DC,Capitals won by 2 wickets,2019-05-08T14:00Z,2019-05-10T23:59Z,58547,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Shreyas Iyer,Kane Williamson,Rishabh Pant,None,FALSE,19.5,165,8,23,20,162,8,19
2019,1181767,Chennai Super Kings v Delhi Capitals,CSK v DC,"Qualifier 2 (N), Indian Premier League at Visakhapatnam, May 10 2019",CSK,DC,CSK,BOWL FIRST,147/9,151/4,151/4,147/9,CSK,Super Kings won by 6 wickets,2019-05-10T14:00Z,2019-05-12T23:59Z,58547,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",MS Dhoni,Shreyas Iyer,Faf du Plessis,None,FALSE,19,151,4,19,20,147,9,17
2019,1181768,Mumbai Indians v Chennai Super Kings,MI v CSK,"Final (N), Indian Premier League at Hyderabad (Deccan), May 12 2019",MI,CSK,MI,BAT FIRST,149/8,148/7,149/8,148/7,MI,Mum Indians won by 1 run,2019-05-12T14:00Z,2019-05-14T23:59Z,58142,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rohit Sharma,MS Dhoni,Jasprit Bumrah,None,FALSE,20,149,8,18,20,148,7,17
2020,1216492,Mumbai Indians v Chennai Super Kings,MI v CSK,"1st Match (N), Indian Premier League at Abu Dhabi, Sep 19 2020",MI,CSK,CSK,BOWL FIRST,162/9,166/5,162/9,166/5,CSK,Super Kings won by 5 wickets,2020-09-19T14:00Z,2020-09-21T23:59Z,59396,"Sheikh Zayed Stadium, Abu Dhabi",Rohit Sharma,MS Dhoni,Ambati Rayudu,"Chennai Super Kings 2, Mumbai Indians 0",FALSE,20,162,9,19,19.2,166,5,21
2020,1216493,Delhi Capitals v Kings XI Punjab,DC v PBKS,"2nd Match (N), Indian Premier League at Dubai (DSC), Sep 20 2020",DC,PBKS,PBKS,BOWL FIRST,157/8,157/8,157/8,157/8,DC,Match tied (Delhi Capitals won the one-over eliminator),2020-09-20T14:00Z,2020-09-22T23:59Z,392627,Dubai International Cricket Stadium,Shreyas Iyer,KL Rahul,Marcus Stoinis,"Delhi Capitals 2, Kings XI Punjab 0",TRUE,20,157,8,19,20,157,8,18
